horizon,count,mae,rmse,mape,r2,median_ape,pct_under_10,pct_under_20,pct_under_50
Overall,301,231724.69719901512,363339.01559087593,63.09578137603338,0.9086520667475749,15.644834076288697,39.8671096345515,56.47840531561462,72.75747508305648
Day 1,43,177298.0257537554,272121.3194548117,48.805201139337555,0.954512806119313,11.010813998749544,48.837209302325576,58.139534883720934,79.06976744186046
Day 2,43,204736.84355117637,313096.85870227846,49.777112870392834,0.9340904551552321,14.8892804723155,37.2093023255814,60.46511627906976,74.4186046511628
Day 3,43,226339.88055428248,356112.7194810567,55.19589146959578,0.9069605965657433,18.185033629275853,34.883720930232556,53.48837209302325,76.74418604651163
Day 4,43,244117.25299470668,370244.00519833755,53.433363983292374,0.8941767096813926,13.41435803417992,41.86046511627907,55.81395348837209,72.09302325581395
Day 5,43,234679.79178925647,354602.09834459214,79.10592047081629,0.9121542462809294,18.470791952802372,39.53488372093023,51.162790697674424,67.44186046511628
Day 6,43,253478.92743997648,398137.7557173986,90.43509396264905,0.8933161761644849,14.649505398564958,39.53488372093023,60.46511627906976,69.76744186046511
Day 7,43,281422.1583099517,451523.87897340505,64.91788573614981,0.8560824377079594,16.09824082937312,37.2093023255814,55.81395348837209,69.76744186046511
